id	filename	md5	size	state
53510b4b-8952-4009-bac8-4e7ea093e3f5	8ae2bb09-25e1-45a4-aa17-6d8cb004bece.wxs.aliquot_ensemble_masked.maf.gz	3051b5533fc5a6ef73456bc5da6ce005	20952	released
152927d4-038b-489a-8e66-060322b56272	0a0243b2-9148-4c68-b533-099ed1fb6ee0.wxs.aliquot_ensemble_masked.maf.gz	e19db06fb7e43f3a51110501a0867e73	31465	released
a406aecd-b3d0-46e3-a455-670b3428c69e	0a6f0619-8092-4742-aa17-b6788694142d.wxs.aliquot_ensemble_masked.maf.gz	3a5d2e928e0b449b79c4fd71c5417686	62712	released
b82fd206-1ca9-472d-b2b9-2812e7c99dfc	09e9fbed-e4cb-4203-8645-39da98269489.wxs.aliquot_ensemble_masked.maf.gz	67b1db719cc69b9e5d52cbdeff2aa35f	78067	released
08fd8154-5f58-42a4-979c-2454a40c169c	90067e21-4a47-444f-92ee-27bb2a53ddf8.wxs.aliquot_ensemble_masked.maf.gz	1caeda22b92aaded5fd3b5da91695d32	35361	released
3dfc399a-fe76-4adb-835e-5c5541f209db	5c5bef11-bd78-46e0-a926-ce66bb2ed021.wxs.aliquot_ensemble_masked.maf.gz	fb84ac5d8ccfaf746bb930faccc79163	13077	released
e985ad03-5b03-40c5-963c-7abb3d036f54	d8cc13a3-f04b-4353-9da0-db1549244346.wxs.aliquot_ensemble_masked.maf.gz	8e9eaa2efc5c92ba1c2e96b111aeb7ad	19685	released
12c20220-e800-4483-91a9-c6efdd59ba31	070a3de5-9f8e-44e5-ba8c-92077fdeef26.wxs.aliquot_ensemble_masked.maf.gz	20f3635bcd98e9f92c4658ba439aee7c	8466	released
356bab96-c739-4cc9-8c9c-e1956c2ec97f	fc7f1b2b-769b-4e16-97cd-c86b3a93fc1e.wxs.aliquot_ensemble_masked.maf.gz	b3edab57a12fdf50ca142f575c59eb5e	8338	released
4a9401d1-ba2e-4801-9d09-945a888b811b	c7d42c89-fdce-43c7-8295-1c0585577208.wxs.aliquot_ensemble_masked.maf.gz	681c1b8780ecd19c5449aeeead726f49	8466	released
19f32793-f374-4c11-ade2-f9a7f202e732	89f336ad-c95c-45bf-b482-f125f3fffdcd.wxs.aliquot_ensemble_masked.maf.gz	fbf5146237c6e8dbd081db7e1d28553d	26041	released
2c147e69-ae6c-44f9-bef5-9a64a2e0a952	5b961834-58d4-4062-8951-b4737b578beb.wxs.aliquot_ensemble_masked.maf.gz	ffa8b7340368087c4d48ea97f84d66e3	12600	released
